macrostate,P_up,P_down,term_1,term_2
206,0.0020176722213,0.0035688229553,-1.6133542231121675e-17,2.568640650212306e-38
207,0.0020536532969,0.0038551891864,-1.6257679795991865e-17,2.4860307579208104e-38
208,0.0021705930275999997,0.0033314707611,-1.6185287817850322e-17,2.6772082299130904e-38
209,0.0019958523556,0.0034050982578,-1.6400231660122936e-17,2.587665731926056e-38
210,0.0022569071063000003,0.0040993266579,-1.626867711345271e-17,3.400085852379823e-38
211,0.0019332441304000002,0.0033352421034,-1.6551836093388845e-17,3.7151742856476787e-38
212,0.0020369501819999998,0.0037827643328,-1.6509936336129003e-17,2.896026408054373e-38
213,0.0021935215808,0.0032821423700999997,-1.649842524618096e-17,2.5514068724488073e-38
214,0.0019443845855,0.0039147271797,-1.6738288547332422e-17,2.635884112246313e-38
215,0.0020423933785,0.0036340608141,-1.6734446145957194e-17,2.658154795575442e-38
216,0.0022303924755,0.0028872822895,-1.6745081813302735e-17,3.0490337047069047e-38
217,0.0021370184024,0.0033544471741,-1.6800182162292475e-17,2.5028679407984773e-38
218,0.0020355010809,0.0037315749288000005,-1.6968227949439745e-17,4.1309291000570487e-38
219,0.0019792572589999997,0.0035867746132,-1.706163561377837e-17,3.213352366364262e-38
220,0.0020268617059000004,0.0030099821421,-1.7113375747909304e-17,3.094453963760621e-38
221,0.0020204989819,0.0035973663195,-1.717686717632646e-17,2.8658855587646325e-38
222,0.0019387396245,0.0033548814020000002,-1.716162525564976e-17,2.702423904071385e-38
223,0.0019795359445,0.0032323725509,-1.7252547018142103e-17,2.6518568954466336e-38
224,0.0019152438502,0.0039923669677,-1.7388690572783247e-17,3.027699154604591e-38
225,0.0019660741287,0.0036778930361,-1.73420932325659e-17,2.703987924368464e-38
226,0.0020473200937,0.0030232511318000004,-1.742899904608498e-17,3.3269095966288787e-38
227,0.0017848457722,0.0035708491281000003,-1.770376971480879e-17,3.5430915577312355e-38
228,0.0019432958077,0.0029130600364,-1.7601740546426147e-17,3.4800241485367217e-38
229,0.0019561456521,0.0024324764342,-1.7773350047925646e-17,2.5370569040315283e-38
230,0.0021746106674000003,0.0031154670396999996,-1.76815875520226e-17,3.915664795915001e-38
231,0.0020113048222,0.0039871427982,-1.7871883756238932e-17,2.3432132121730042e-38
232,0.0021888755911,0.0031843864065000003,-1.7822540701084492e-17,3.296370932646257e-38
233,0.0020155293076,0.0032932523098,-1.7909886208502487e-17,3.43741718706679e-38
234,0.0018328660746,0.0032002265602,-1.8073333151444828e-17,3.174649637926303e-38
235,0.0019102749962,0.0032828351318,-1.809467673631506e-17,2.7518667076435846e-38
236,0.0019594557691,0.0042741367011,-1.8163293893001636e-17,2.76699279248525e-38
237,0.0019642201186,0.003506144693,-1.8194433404313435e-17,3.3669854211936163e-38
238,0.0018912335437000001,0.0029862462331,-1.8341244271429645e-17,2.766786928308594e-38
239,0.002343456949,0.0037644258165,-1.8114016667351725e-17,2.737579460426993e-38
240,0.0019212338947999998,0.0036120939707000002,-1.8453830361505704e-17,3.745317079341673e-38
241,0.0022440879963,0.0041204726861,-1.8259311128076328e-17,2.876635808720694e-38
242,0.0020294624069,0.0031748175816,-1.8541797932770126e-17,2.5864564110562704e-38
243,0.0024375853668,0.0037233767638000003,-1.835931984393814e-17,3.058272131857016e-38
244,0.0019115283998,0.0033259301129,-1.878072632884158e-17,3.251861448773868e-38
245,0.0022219723322,0.0038743185582,-1.8599366202058035e-17,3.291674917803753e-38
246,0.0023481149802,0.0042642205865000005,-1.85283156396233e-17,2.7999733712313185e-38
247,0.0018894378746,0.0031708401844000003,-1.8924653416663276e-17,3.396164496325637e-38
248,0.0018933497865,0.0033031186364,-1.8978166840040818e-17,3.12675683731314e-38
249,0.0018970744729,0.0035532436946999995,-1.9047618993400462e-17,2.5675666155277695e-38
250,0.0019203907069000002,0.0030211945432,-1.9200082955904898e-17,3.0832607627227995e-38
251,0.0023499256156,0.0037379828877,-1.8966126238310904e-17,3.442436395059876e-38
252,0.0019754013835,0.004079584962300001,-1.9193657757811242e-17,3.499311689223457e-38
253,0.0019411204967,0.0034482132626999997,-1.9315105461390706e-17,3.308944651783384e-38
254,0.0019651646644,0.0032739934759999996,-1.9424703491312e-17,3.733286071835679e-38
255,0.0019424188697999998,0.0034479245041,-1.9472518294961757e-17,3.3285872897502e-38
256,0.0021137352598,0.0038852124963000005,-1.9382933489750145e-17,3.486547265326492e-38
257,0.0019783116949,0.002990329541,-1.9514791446218278e-17,4.0461504459461765e-38
258,0.0018820979171,0.0032612914892,-1.9698373872321106e-17,3.196303308762448e-38
259,0.0019736189998,0.0034014308808,-1.9714808195692458e-17,3.687210821350172e-38
260,0.0019578618234,0.0032382622773000002,-1.9760013582749856e-17,3.729805973245582e-38
261,0.0020729303671,0.0038681112565999995,-1.9840095852265684e-17,3.7401809252471355e-38
262,0.001848917468,0.0031517773611,-2.002645294429893e-17,2.965050484617662e-38
263,0.0020406432311,0.0033104130901,-1.9990707127616008e-17,3.2563103590009714e-38
264,0.0021081676995999997,0.0031656558606999994,-1.9962404024478072e-17,3.76080296081669e-38
265,0.0018552917412,0.0034107593093999997,-2.015744362714721e-17,3.6144527875691097e-38
266,0.0023916486824,0.0031924789839,-1.9899643779585868e-17,4.421173014053573e-38
267,0.0019959811302,0.0038158794270000003,-2.021694916182834e-17,2.735525914361194e-38
268,0.0018221877581,0.0029904407549,-2.0450368844263343e-17,4.086839793425187e-38
269,0.0023150415965,0.0039579745965,-2.0085724749947116e-17,3.3738006547361804e-38
270,0.0018267296135,0.0036825308918,-2.0581387531801272e-17,3.169903401561205e-38
271,0.0022691884943000003,0.0039099374978000005,-2.024202339419218e-17,3.831607546871745e-38
272,0.0021729890066,0.0031000035996,-2.046279433982357e-17,3.727406883776272e-38
273,0.002027886307,0.0026844835553,-2.0750259446439432e-17,3.446135642463645e-38
274,0.0017970136262,0.0033828856553000004,-2.0879702064462648e-17,3.707331004120684e-38
275,0.0020744734938,0.0028947028344000003,-2.074526066400386e-17,3.5719382267910763e-38
276,0.0018415742000000002,0.0034307959131,-2.0936317772920114e-17,3.9895599876121404e-38
277,0.0019863874654000003,0.0030465876103,-2.0937959042217125e-17,3.394987924867503e-38
278,0.0017765593951,0.0030743010149000003,-2.113546833169227e-17,3.4942284108479925e-38
279,0.0022212275141,0.0035318765010000004,-2.0946600602305848e-17,3.6793892418558265e-38
280,0.0017916047835999998,0.0034932689141,-2.1306427623895385e-17,3.1566388403781576e-38
281,0.0017836407115,0.0032991528798999997,-2.1357856074867013e-17,3.526040622574221e-38
282,0.0022742669969,0.0031318389094999997,-2.1049838765130552e-17,4.30624320965954e-38
283,0.0022216833802,0.003270241763,-2.1183625119116925e-17,4.2599360138129457e-38
284,0.0019899425761,0.0034136199058000002,-2.1326503992317462e-17,3.7825675079783283e-38
285,0.0020102815692,0.0036586047354,-2.1422793432388774e-17,3.4386746474695413e-38
286,0.0019391667932999999,0.003337899678,-2.154565736931749e-17,3.5296997147202046e-38
287,0.0019773758699,0.0035378828139000004,-2.1531725842764923e-17,4.763658816448313e-38
288,0.0018284688983,0.0032274902859,-2.1765466585054704e-17,3.8474587792246617e-38
289,0.0019457058499,0.0030520166354000003,-2.1693876510610754e-17,3.715107308032841e-38
290,0.0021110979407000002,0.0030741989952,-2.1688671602964752e-17,3.9827891514240455e-38
291,0.0020588407494,0.002975250059,-2.191035436194764e-17,4.0347833865802084e-38
292,0.0024621665012,0.0033943163484000003,-2.166509300097658e-17,4.4863190956712996e-38
293,0.0023194943224000004,0.0031817648864,-2.1716840009457395e-17,4.3955189260817844e-38
294,0.0019183608880999998,0.0035905422564999996,-2.2088002696353767e-17,3.1574110571832384e-38
295,0.0018768228438,0.0031587154011999997,-2.228022158716403e-17,3.8317566154354985e-38
296,0.0017563748837000001,0.00336518908,-2.232276182146656e-17,4.3291441627837695e-38
297,0.0020135621300999998,0.0031787498783,-2.2285026285994324e-17,4.30408430576617e-38
298,0.0020817539545000003,0.0030010832587,-2.22788613611271e-17,3.6456148926596484e-38
299,0.0020675568172999997,0.0029712215641999997,-2.2393345661334884e-17,3.612449326129034e-38
300,0.0021832713034,0.0031770290804,-2.2298780472481732e-17,3.7765807464677636e-38
301,0.0021715957117,0.0033054023159,-2.2357928854096823e-17,3.662940046556665e-38
302,0.0019118012495999998,0.0026494132463000006,-2.2608815837090582e-17,3.631951595197342e-38
303,0.0018516405904000003,0.0030680161185,-2.270730923551784e-17,5.370229497097016e-38
304,0.0021562532416999998,0.0028910287201,-2.2669850771839024e-17,4.258335544369222e-38
305,0.0021563948481,0.0034047460889000004,-2.265804013876416e-17,4.1831282393755476e-38
306,0.0024137805688,0.0035454940493,-2.255527445062567e-17,3.6719795361131924e-38
307,0.0018577616358,0.0032324676360999996,-2.297850063855307e-17,4.037409369286604e-38
308,0.0020451302584000002,0.003007462048,-2.2999295733258302e-17,4.5914663581938023e-38
309,0.0018356554428,0.0028685098373,-2.311540048382097e-17,3.850896768616296e-38
